log_downloads,maintainer_count,age_days,days_since_update,vuln_count,malware_reports,verified_flags,has_install_script,install_script_kb,has_preinstall,has_postinstall,maintainer_change_count,maintainer_velocity,domain_age_days,executable_binary_count,network_code_files,log_total_files,entropy_max_file,dependency_delta,log_version_count,days_between_versions,log_stars,log_forks,namespace_age_days,download_star_anomaly,label
0.000000,5.000000,5154.111456,297.214857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.367296,365.000000,0.000000,0.000000,5154.111456,0.000000,0.000000
18.302546,1.000000,1543.997892,3.434186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.023448,2.736223,0.000000,0.000000,1543.997892,0.000000,0.000000
0.000000,1.000000,511.324966,27.229555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.091042,63.793268,0.000000,0.000000,511.324966,0.000000,0.000000
20.888070,1.000000,5500.469491,200.972061,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.062595,113.735633,0.000000,0.000000,5500.469491,0.000000,0.000000
0.000000,1.000000,2507.111950,1392.006536,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.693147,30.000000,0.000000,0.000000,2507.111950,0.000000,1.000000
16.053853,1.000000,4165.786708,118.053562,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.931826,93.822378,0.000000,0.000000,4165.786708,0.000000,0.000000
0.000000,2.000000,3369.917824,2.529876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.931472,2.249285,0.000000,0.000000,3369.917824,0.000000,0.000000
19.932590,1.000000,6479.960164,367.000542,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.970292,260.528400,0.000000,0.000000,6479.960164,0.000000,0.000000
0.000000,5.000000,2388.134531,935.373183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.672829,112.244501,0.000000,0.000000,2388.134531,0.000000,0.000000
15.445520,1.000000,3857.921370,148.008146,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.543295,59.016385,0.000000,0.000000,3857.921370,0.000000,0.000000
0.000000,3.000000,5356.909519,145.122547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.484907,365.000000,0.000000,0.000000,5356.909519,0.000000,0.000000
0.000000,4.000000,5280.393955,8.347443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,6.131226,22.406053,0.000000,0.000000,5280.393955,0.000000,0.000000
18.529953,2.000000,2317.854249,61.392194,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.584967,32.252712,0.000000,0.000000,2317.854249,0.000000,0.000000
0.000000,1.000000,5539.716110,851.628622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.761200,13.471058,0.000000,0.000000,5539.716110,0.000000,0.000000
18.698007,1.000000,4316.072681,1249.032148,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.637586,30.045848,0.000000,0.000000,4316.072681,0.000000,0.000000
0.000000,2.000000,1180.064240,128.995766,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.709530,43.153651,0.000000,0.000000,1180.064240,0.000000,1.000000
0.000000,2.000000,4410.032225,233.160673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.332205,365.000000,0.000000,0.000000,4410.032225,0.000000,0.000000
0.000000,1.000000,4581.878134,64.359181,0.000000,0.000000,0.000000,1.000000,0.037109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.153292,26.730597,0.000000,0.000000,4581.878134,0.000000,0.000000
16.167897,1.000000,5728.516087,1037.236192,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.871201,77.242808,0.000000,0.000000,5728.516087,0.000000,0.000000
17.717382,1.000000,6525.155055,15.683166,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.424950,31.317888,0.000000,0.000000,6525.155055,0.000000,0.000000
10.490691,1.000000,2657.409708,2657.409708,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.693147,30.000000,0.000000,0.000000,2657.409708,0.000000,0.000000
16.322975,9.000000,2573.486116,1.098225,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.487684,9.011317,0.000000,0.000000,2573.486116,0.000000,0.000000
15.152708,1.000000,5048.101227,127.627102,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.433987,258.290739,0.000000,0.000000,5048.101227,0.000000,0.000000
17.856896,1.000000,4952.114456,17.059064,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.859812,22.557299,0.000000,0.000000,4952.114456,0.000000,0.000000
0.000000,1.000000,1171.197289,916.493716,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.945910,34.573577,0.000000,0.000000,1171.197289,0.000000,1.000000
21.237762,1.000000,4133.982633,0.887448,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.595890,1.774716,0.000000,0.000000,4133.982633,0.000000,0.000000
0.000000,1.000000,4897.585521,727.695781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.430817,51.261615,0.000000,0.000000,4897.585521,0.000000,0.000000
0.000000,4.000000,1892.956665,89.092481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.693147,30.000000,0.000000,0.000000,1892.956665,0.000000,0.000000
